sku,itemName,itemVariety,itemType,cannabisType,status,toleranceLevel,isVegan,imgURL,salesDescription
THC-GOL-TRI-120,Goldbar-Triple Berry/THC/120mg,Edibles,THC,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000260336.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 10mg each of our own potent sun-grown cannabis oil.
THC-MED-MEN-40,Medicated Salve-Menthol/THC/40mg,Topicals,THC,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000672011.png,"Stubborn aches and pains don't stand a chance with this salve, infused with St. John's Wort, Arnica, and 40mg of our own potent sun-grown cannabis oil. "
THC-MED-REG-40,Medicated Salve-Regular/THC/40mg,Topicals,THC,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000602031.png,"Stubborn aches and pains don't stand a chance with this salve, infused with St. John's Wort, Arnica, and 40mg of our own potent sun-grown cannabis oil. "
THC-GOL-BLU-420,Goldbar-Blueberry/THC/420mg,Edibles,THC,Hybrid,Active,High,,DocTemplates_ItemImage_2356153000000260027.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 35mg each of our own potent sun-grown cannabis oil.
THC-GOL-DAR-420,Goldbar-Dark Chocolate/THC/420mg,Edibles,THC,Hybrid,Active,High,Vegan,DocTemplates_ItemImage_2356153000000642063.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 35mg each of our own potent sun-grown cannabis oil.
THC-GOL-MIT-420,Goldbar-Milk & Toffee/THC/420mg,Edibles,THC,Hybrid,Active,High,,DocTemplates_ItemImage_2356153000000676039.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 35mg each of our own potent sun-grown cannabis oil.
THC-GOL-MIL-420,Goldbar-Milk Chocolate/THC/420mg,Edibles,THC,Hybrid,Active,High,,DocTemplates_ItemImage_2356153000000667045.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 35mg each of our own potent sun-grown cannabis oil.
THC-GOL-MIN-420,Goldbar-Mint/THC/420mg,Edibles,THC,Hybrid,Active,High,,DocTemplates_ItemImage_2356153000000642103.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar.
THC-GOL-MIL-420-SPR,Goldbar-Spring Fling Milk Chocolate /THC/420mg,Edibles,THC,Hybrid,Inactive,High,,DocTemplates_ItemImage_2356153000000921008.png,Let's have a spring fling! This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 35mg each of our own potent sun-grown cannabis oil.
THC-GOL-TRI-420,Goldbar-Triple Berry/THC/420mg,Edibles,THC,Hybrid,Active,High,,DocTemplates_ItemImage_2356153000000260336.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 35mg each of our own potent sun-grown cannabis oil.
THC-GUM-CHE-20M,Gummies-Cherry-lime/THC/20mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000616155.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
